ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
96,SP,Matt Brash,Detroit,40818, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,4,20.1,87,79,20,14,1,1,4,9,5,7,0,23,0,.302,0,1,1,3,0,0.91,18,17,2,1,4.55,-0.0,0.4,0.6,3.11,1,4,4,2,1,0,1,0,0,.500,0.44,-0.4,1.006,3,1,20.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.0,0.0
199,SP,Daniel Castano,Brooklyn,34456, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,8.1,41,38,12,6,3,1,2,6,5,3,0,7,0,.345,0,0,0,1,0,1.00,8,9,1,0,5.74,-0.2,0.1,0.0,4.31,1,2,2,4,3,1,0,0,0,1.000,4.32,-0.2,1.006,1,0,8.1,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
76,SP,Daniel Castano,Appleton,34456, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.1,43,42,12,8,4,0,0,5,4,1,0,8,0,.353,0,0,0,0,0,1.03,15,6,0,2,1.96,0.2,0.5,0.3,3.79,1,2,2,3,2,1,0,0,0,1.000,2.61,0.3,1.006,2,2,10.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.1,0.0
253,SP,Humberto Castellanos,Low Country,34165, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.0,40,36,11,9,1,0,1,6,5,4,0,5,0,.333,0,0,0,2,0,1.31,10,10,0,0,4.89,-0.3,0.1,0.1,5.28,1,2,2,0,0,0,0,0,0,.000,0.00,0.2,.000,0,0,9.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
391,SP,Al Cicotte,Dark Web,40370, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,16.2,69,58,9,9,0,0,0,3,2,9,0,13,0,.191,0,2,0,1,0,1.00,15,21,0,0,3.28,0.4,0.6,1.0,4.71,1,3,3,1,1,0,0,0,0,1.000,0.54,0.3,1.006,0,0,16.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.4,0.0
57,SP,Ed Connolly Jr.,Appleton,40349, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,17,13,1,1,0,0,0,1,1,4,0,8,0,.200,0,0,0,0,0,1.05,4,0,0,0,2.22,0.1,0.2,0.2,3.30,1,1,1,1,1,0,0,0,0,1.000,2.25,0.2,1.006,0,0,4.0,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-0.3,0.0
177,SP,George Cuppy,Providence,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,0.1,7,7,6,1,2,0,3,6,6,0,0,0,0,.750,0,0,1,0,0,0.94,1,0,0,0,120.20,-0.5,-0.3,-0.4,6.02,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
323,SP,Richard Dotson,Vegas,38490, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,17,17,7,3,0,0,4,5,5,0,0,4,0,.333,0,0,0,0,0,0.65,4,2,0,2,14.22,-0.3,-0.3,-0.1,2.73,1,1,1,1,1,0,0,0,0,1.000,2.25,0.2,1.006,2,2,4.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.3,0.0
264,SP,Shawn Estes,EVC's,38415, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,21,17,4,1,1,0,2,6,6,4,0,3,0,.167,0,0,0,1,0,0.96,7,3,0,0,10.08,-0.4,-0.2,-0.2,6.03,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
277,SP,Max Fried,EVC's,35727, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,24,21,6,6,0,0,0,3,0,3,0,7,0,.429,0,0,1,0,0,1.18,2,6,1,1,2.28,0.2,0.3,0.1,3.01,1,1,1,0,0,0,0,0,0,.000,0.00,-0.3,.000,2,1,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
