ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
409,C,Robby Hammock,Quebec,DJN,39512,8,8,35,33,9,7,1,0,1,2,6,2,0,0,0,0,11,0,.307,.381,3,-2.2,-0.2,0,0,-2.3,0.0,0.2,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,2,2,7,5,2,0,1,0,1.000,3.71,0.1,1.069,0,0,17.0,0,0,0.00,5,5,0,0,1,0,0,0,0,0,0,0.0,0.0
192,C,Robby Hammock,Las Vegas,LV,39512,2,1,6,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,.125,.000,0,-1.5,-0.1,0,0,-1.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
363,C,Sport McAllister,Wedgwood,WED,39942,22,19,88,80,24,19,4,0,1,15,13,5,0,1,0,2,16,2,.320,.354,9,-4.4,-0.3,2,2,-4.5,-0.4,-0.4,-0.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,6,6,13,11,1,1,1,0,.923,2.04,0.5,.980,0,0,53.0,0,0,0.00,5,5,3,2,3,3,0,0,3,1,2,0.0,0.0
575,1B,Phil Clark,Dinosoaur Bob and,DB,40365,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,.000,.000,-1,-1.9,-0.1,0,0,-1.9,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
804,1B,Bobby Dalbec,Norwood,NOR,34965,4,4,15,13,2,2,0,0,0,1,1,2,0,0,0,0,5,0,.220,.250,0,-2.3,-0.2,0,0,-2.3,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
566,1B,Bobby Dalbec,Morristown,MOR,34965,12,11,44,40,9,4,2,0,3,12,6,4,0,0,0,0,12,0,.324,.240,4,-2.0,-0.1,0,0,-2.1,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
511,1B,Bobby Dalbec,Guardiana,GUA,34965,5,4,16,14,7,5,2,0,0,3,0,2,0,0,0,0,5,0,.525,.778,5,2.5,0.1,0,1,2.5,-0.5,-0.8,-1.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
371,1B,Bobby Dalbec,Wedgwood,WED,34965,13,9,38,34,10,5,2,0,3,9,7,4,0,0,0,0,11,1,.399,.350,7,1.1,0.2,1,0,1.1,0.3,0.6,0.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
216,1B,Bobby Dalbec,Key West,KW,34965,5,5,23,21,9,9,0,0,0,1,5,2,0,0,0,0,7,0,.418,.643,4,1.1,0.1,0,1,1.1,-0.4,0.4,-0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
689,1B,Marwin Gonzalez,Nashua,NAS,40659,9,3,24,19,7,6,1,0,0,3,5,5,0,0,0,0,5,0,.431,.500,5,1.5,0.2,1,0,1.4,0.3,0.1,0.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,3,2,3,3,0,0,1,0,1.000,1.29,0.1,1.069,0,0,21.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
