ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
466,SP,George Cuppy,Crown Point,CP,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,0,3,13.2,68,61,23,14,3,1,5,17,15,5,0,12,0,.391,0,2,0,2,0,0.91,76,230,13,14,3,0,7.71,-1.1,-0.0,-0.3,4.23,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
343,SP,George Cuppy,Tokyo,TR,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,5,1,2,24.1,126,111,41,28,5,0,8,24,24,12,0,24,3,.418,0,0,1,3,0,1.17,91,458,23,22,2,1,7.76,-1.4,-0.0,-0.1,4.27,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
530,RP,George Cuppy,Circle City,CC,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,0,0,5.0,26,26,10,4,2,0,4,6,6,0,0,5,0,.353,0,0,1,0,4,1.20,24,97,5,5,0,0,12.01,-0.4,-0.3,-0.2,3.16,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
363,C,Sport McAllister,Wedgwood,WED,39942,22,19,88,80,24,19,4,0,1,15,13,5,0,1,0,2,16,2,.320,.354,9,-4.4,-0.3,2,2,-4.5,-0.4,-0.4,-0.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,7,4,8,0,8,0,0,0,1.000,1.67,0.5,1.067,0,0,43.0,0,0,0.00,6,6,1,1,0,0,1,0,2,1,1,0.0,0.1
686,C,Francisco Mejia,Nashua,NAS,34906,7,6,29,28,9,6,3,0,0,2,2,0,0,0,0,1,9,1,.310,.450,2,-1.8,-0.3,0,0,-1.8,0.0,-1.5,-1.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
665,C,Francisco Mejia,Mountain Lakes,ML,34906,10,10,45,40,13,9,2,1,1,3,2,5,0,0,0,0,12,1,.388,.444,7,0.8,-0.1,0,1,0.8,-0.4,-1.8,-2.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
638,C,Francisco Mejia,Bay View,BVB,34906,7,1,11,10,1,1,0,0,0,0,1,1,0,0,0,0,4,1,.150,.167,0,-2.4,-0.2,0,0,-2.5,0.0,-0.0,-0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,2,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,6.0,0,0,0.00,0,0,0,0,1,0,0,0,0,0,2,0.0,0.3
559,C,Francisco Mejia,Morristown,MOR,34906,10,9,46,45,15,10,5,0,0,8,4,1,0,0,0,0,14,0,.342,.484,5,-1.3,-0.1,0,0,-1.3,0.0,0.6,0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
498,C,Francisco Mejia,Guardiana,GUA,34906,2,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0,.180,.333,0,-1.0,-0.1,0,0,-1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
273,C,Francisco Mejia,St Louis,STLB,34906,7,7,35,31,7,2,1,1,3,6,6,3,0,0,0,1,7,0,.342,.182,4,-1.0,-0.1,0,0,-1.0,0.0,-1.1,-1.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,1,1,2,0,2,0,0,0,1.000,2.25,0.1,1.067,0,0,8.0,0,0,0.00,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0
