ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
64,C,Jason Castro,Breslau,BRE,34535,3,2,9,9,2,2,0,0,0,0,0,0,0,0,0,0,3,0,.200,.333,0,-1.5,-0.1,0,0,-1.6,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,2,2,26,2,24,0,0,0,1.000,11.70,-0.1,.000,1,0,20.0,0,14,6.30,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
745,C,William Contreras,Modesto,MOD,34508,14,11,54,48,20,9,3,0,8,17,10,6,0,0,0,0,11,1,.560,.414,18,10.3,0.8,1,0,10.3,0.4,-1.4,-1.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,7,7,87,5,82,0,0,0,1.000,12.49,-0.1,.000,5,2,62.2,0,29,4.16,0,0,0,0,1,0,0,0,0,0,0,-0.5,0.0
622,C,William Contreras,Pack,PACK,34508,5,5,22,18,5,3,0,0,2,4,4,3,0,1,0,0,6,0,.420,.300,4,1.1,0.2,0,0,1.1,0.0,0.1,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,40,6,34,0,0,0,1.000,9.64,0.7,1.052,4,3,37.1,0,15,3.62,0,0,1,1,2,2,0,0,0,0,0,0.1,0.0
378,C,William Contreras,Wedgwood,WED,34508,24,17,81,68,22,11,4,0,7,18,17,12,1,1,0,0,24,3,.445,.405,18,6.0,0.6,0,0,6.0,0.0,0.6,0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,6,5,56,4,52,0,0,0,1.000,10.96,0.3,.000,3,2,46.0,0,21,4.11,0,0,0,0,0,0,0,0,0,0,0,-0.9,0.0
305,C,William Contreras,Shire,SHI,34508,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-1.5,-0.1,0,0,-1.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,10,0,10,0,0,0,1.000,11.25,0.0,.000,0,0,8.0,0,6,6.75,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
277,C,William Contreras,St Louis,STLB,34508,5,4,20,14,4,1,1,0,2,7,6,4,0,2,0,0,7,0,.507,.400,5,2.8,0.2,0,0,2.7,0.0,-0.5,-0.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,2,2,29,4,25,0,0,0,1.000,14.50,0.1,1.052,4,2,18.0,0,21,10.50,1,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
671,C,Travis d'Arnaud,Mountain Lakes,ML,34516,7,7,31,26,3,2,0,0,1,2,6,5,0,0,0,0,8,1,.235,.118,0,-4.2,-0.4,0,0,-4.2,0.0,-0.4,-0.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,7,7,89,4,84,1,0,0,.989,12.77,-0.2,.000,7,3,62.0,1,40,5.81,0,0,0,0,0,0,0,0,0,0,0,-1.5,0.0
634,C,Travis d'Arnaud,Bay View,BVB,34516,5,3,13,11,4,3,1,0,0,1,2,2,1,0,0,0,2,1,.358,.444,1,-0.2,-0.0,0,0,-0.2,0.0,-0.3,-0.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,3,2,14,0,14,0,0,0,1.000,8.40,0.0,.000,0,0,15.0,0,11,6.60,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
516,C,Travis d'Arnaud,Guardiana,GUA,34516,4,4,17,14,4,1,1,0,2,9,3,3,0,0,0,0,4,0,.462,.250,4,1.6,0.2,0,0,1.6,0.0,0.4,0.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,49,2,47,0,0,0,1.000,13.36,0.1,.000,2,2,33.0,1,35,9.55,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
264,C,Travis d'Arnaud,St Louis,STLB,34516,5,5,23,18,7,6,0,0,1,4,6,4,0,1,0,0,6,0,.475,.545,6,2.4,0.1,0,0,2.4,0.0,-0.3,-0.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,5,5,54,5,49,0,0,0,1.000,11.30,0.3,.000,5,3,43.0,0,40,8.37,0,0,0,0,0,0,0,0,0,0,0,-1.6,0.0
