ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
371,SP,George Cuppy,Gun Barrel City,Gun,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,11.1,49,44,14,12,0,0,2,6,6,4,0,11,1,.387,0,0,0,2,0,0.92,98,196,10,9,2,2,5.42,-0.1,0.2,0.3,3.65,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
98,SP,George Cuppy,Baldivis,BAL,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,1.2,20,18,12,9,1,0,2,11,10,2,0,2,0,.714,0,0,0,0,0,1.13,45,91,1,2,0,0,20.54,-0.8,-0.2,-0.6,5.72,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
762,C,Sport McAllister,Berlin,BER,39942,5,5,21,19,1,0,1,0,0,0,2,2,0,0,0,0,3,0,.127,.062,-1,-5.2,-0.4,0,0,-5.1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
154,C,Sport McAllister,Seattle,SEA,39942,6,6,25,24,6,3,3,0,0,4,3,1,0,0,0,0,5,0,.279,.316,1,-2.3,-0.3,1,1,-2.2,-0.3,-0.4,-0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
779,C,Francisco Mejia,Sheffield,SWFC,34906,14,13,62,59,17,10,4,0,3,8,10,3,0,0,0,0,15,2,.340,.341,8,-1.7,-0.0,2,0,-1.5,0.5,-0.3,0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,4,4,5,2,3,0,1,0,1.000,1.25,-0.3,.789,0,0,36.0,0,0,0.00,2,2,1,1,0,0,2,0,1,0,5,0.0,1.4
740,C,Francisco Mejia,Kalamazoo,Kzoo,34906,12,10,48,43,14,11,2,0,1,7,6,5,0,0,0,0,10,2,.368,.406,7,0.0,-0.0,0,0,0.2,0.0,-0.1,-0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
621,C,Francisco Mejia,Tony Da Mucha,GG,34906,6,4,18,16,6,3,1,1,1,4,4,0,0,0,1,1,5,0,.391,.455,3,0.4,-0.0,0,0,0.5,0.0,-0.7,-0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
405,C,Francisco Mejia,Never Say,NS,34906,8,5,26,25,8,1,2,0,5,8,8,0,0,1,0,0,7,0,.487,.231,7,3.2,0.3,0,0,3.3,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,2,2,3,0,3,0,0,0,1.000,1.53,0.0,1.052,0,0,17.2,0,0,0.00,2,2,1,0,1,1,0,0,0,0,2,0.0,-0.0
244,C,Francisco Mejia,Dumaguete City,DC,34906,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.4,-0.0,0,0,-0.4,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
69,C,Francisco Mejia,Fullerton,FUL,34906,9,9,40,34,8,4,2,1,1,4,4,5,0,0,0,1,11,0,.321,.304,4,-1.9,-0.1,0,0,-1.8,0.0,-0.0,-0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,2,2,3,0,3,0,0,0,1.000,1.59,0.1,1.052,0,0,17.0,0,0,0.00,3,3,0,0,0,0,0,0,1,0,2,0.0,-0.4
614,1B,Marwin Gonzalez,Napa,NAPA,40659,12,12,49,42,13,8,1,0,4,11,6,6,0,0,0,1,14,1,.402,.360,9,1.8,0.2,0,0,1.9,0.0,0.4,0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
722,1B,John Milner,Toronto,TOR,39912,10,9,45,36,6,2,2,0,2,8,4,7,0,1,0,1,13,2,.302,.182,4,-3.0,-0.2,0,1,-2.9,-0.5,0.3,-0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,7,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
195,1B,John Milner,Emeryville,EME,39912,21,20,88,76,20,10,4,0,6,17,18,11,0,1,0,0,30,1,.375,.350,14,0.7,0.2,0,0,1.0,0.0,0.1,0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2450,1B,Edwin Rios,TRANQUIL HILL FARMS,TH,34103,2, ,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1.040,1.000,1,1.4,0.1,0,0,1.4,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
785,1B,Edwin Rios,Sheffield,SWFC,34103,21,21,96,86,21,15,2,0,4,16,12,6,0,3,0,1,37,3,.307,.370,9,-6.0,-0.3,0,1,-5.7,-0.3,-0.2,-0.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
676,1B,Edwin Rios,Medway,MED,34103,9,8,38,35,13,5,1,1,6,17,9,2,0,0,0,1,8,0,.499,.318,11,5.1,0.5,0,0,5.3,0.0,0.5,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
111,1B,Edwin Rios,Hoppalong,HOP,34103,26,26,115,104,31,10,6,2,13,36,21,10,0,1,0,0,39,1,.431,.346,26,7.6,0.6,1,1,7.9,-0.2,-1.3,-1.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
