ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
822,RP,Albert Abreu,Dark Web,34556, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,3.1,14,13,3,1,1,0,1,2,2,1,0,3,0,.222,0,0,0,0,2,0.15,4,3,0,0,7.00,0.0,-0.0,0.1,3.70,1,2,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
218,RP,Domingo Acevedo,Rocky Top,34638, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,5.1,22,21,5,4,0,0,1,2,2,1,0,6,0,.286,0,0,0,0,3,0.40,4,6,0,0,4.75,-0.1,0.1,0.2,2.49,1,3,0,1,0,1,0,0,0,1.000,1.69,0.1,.000,0,0,5.1,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0,-0.1,0.0
667,RP,Jason Adam,New Jersey,34889, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.1,19,14,3,2,1,0,0,3,3,4,0,4,0,.273,0,1,0,0,3,1.35,3,5,0,1,4.92,-0.3,0.1,0.0,5.33,1,3,0,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
557,RP,Jason Adam,Meaty,34889, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,10,0,11.1,48,41,8,5,0,0,3,3,3,7,0,11,0,.185,0,0,0,1,10,0.84,9,13,0,0,7.35,-0.2,-0.1,0.5,4.30,1,10,0,1,1,0,0,0,0,1.000,0.79,0.1,1.012,0,0,11.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0
686,RP,Austin Adams,Dallas,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,4.2,17,13,1,0,0,0,1,2,2,4,0,3,0,.000,0,0,0,1,4,1.10,6,3,1,1,8.07,0.2,-0.1,0.1,6.06,1,4,0,0,0,0,0,0,0,.000,0.00,-0.2,.000,2,1,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
525,RP,Austin Adams,Doha,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,11,0,14.1,58,49,7,3,2,0,2,8,8,8,0,24,0,.208,0,1,0,1,11,0.89,5,13,0,0,4.14,0.6,0.3,0.3,1.65,1,10,0,2,1,1,0,0,0,1.000,1.26,0.0,1.012,0,0,14.1,0,0,0.00,1,0,1,1,0,0,0,0,0,0,0,0.4,0.0
458,RP,Austin Adams,Iron,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,9,0,10.2,45,39,7,0,3,0,4,8,8,5,0,14,1,.143,0,0,1,0,9,0.77,12,6,0,0,7.93,-0.0,-0.1,0.0,3.09,1,9,0,1,1,0,0,0,0,1.000,0.84,0.1,1.012,0,0,10.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
37,RP,Antonio Alfonseca,Forest Hills,39147, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,8,0,6.1,31,26,8,7,1,0,0,2,1,2,0,6,1,.381,1,1,0,1,8,0.80,10,2,0,0,3.52,0.1,0.2,0.2,4.27,1,8,0,1,1,0,0,0,0,1.000,1.42,0.1,1.012,0,0,6.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
128,RP,Kolby Allard,GKT,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.2,11,10,3,2,0,0,1,3,0,0,0,2,0,.286,1,0,0,1,2,0.38,2,3,0,0,7.37,-0.1,-0.0,-0.1,3.26,1,2,0,1,1,0,0,0,0,1.000,3.38,0.0,1.012,0,0,2.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
141,RP,Jose Alvarez,Usual,39127, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,8,0,14.0,56,53,14,9,2,0,3,6,6,2,0,16,1,.324,0,0,0,3,8,0.74,14,9,0,0,5.14,-0.2,0.2,0.4,2.45,1,8,0,0,0,0,0,0,0,.000,0.00,0.2,.000,0,0,14.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
