ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
505,C,Austin Allen,Aurora,ARA,34637,11,11,52,43,10,8,1,0,1,5,7,9,0,0,0,0,11,0,.327,.290,5,-2.7,-0.1,0,0,-2.6,0.0,0.6,0.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
303,C,Curt Casali,Webb City,WC,34035,4,4,15,13,2,1,1,0,0,1,0,2,0,0,0,0,7,0,.242,.333,0,-2.1,-0.2,0,0,-2.1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
803,C,Travis d'Arnaud,Austin,AUS,34516,5,5,22,21,5,5,0,0,0,2,1,1,0,0,0,0,4,1,.241,.294,0,-3.1,-0.2,0,0,-3.0,0.0,0.1,0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
590,C,Travis d'Arnaud,Tony Da Mucha,GG,34516,4,4,20,20,8,7,1,0,0,3,4,0,0,0,0,0,6,0,.378,.571,3,0.0,0.0,0,0,0.1,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
554,C,Travis d'Arnaud,Nebula,NEB,34516,3,3,15,13,3,1,0,0,2,5,3,2,0,0,0,0,7,0,.393,.250,2,0.2,0.1,0,0,0.3,0.0,0.4,0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
322,C,Travis d'Arnaud,Wash Park,WP,34516,4,3,15,15,5,3,1,0,1,1,1,0,0,0,0,0,4,0,.377,.400,2,0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,3,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
286,C,Travis d'Arnaud,Webb City,WC,34516,5,5,20,18,4,2,0,0,2,2,2,2,0,0,0,0,2,1,.340,.143,2,-0.8,-0.0,0,0,-0.7,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
154,C,Travis d'Arnaud,Nevada,NEV,34516,5,5,21,19,6,4,0,0,2,5,3,2,0,0,0,0,10,0,.411,.571,4,0.7,0.1,0,0,0.8,0.0,0.6,0.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
33,C,Travis d'Arnaud,Forest Hills,FH,34516,9,6,32,30,11,6,0,0,5,8,6,2,0,0,0,0,9,1,.489,.375,8,3.7,0.3,0,0,3.7,0.0,0.1,0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,3,2,0,2,0,2,0,0,0,1.000,6.00,0.0,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
812,C,Yadier Molina,Austin,AUS,34199,3,2,10,7,3,2,1,0,0,0,2,3,0,0,0,0,1,0,.529,.500,3,1.6,0.1,0,0,1.6,0.0,-0.4,-0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
