ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
626,C,Austin Barnes,Aurora,ARA,34095,5,5,29,23,10,7,1,0,2,11,7,6,0,0,0,0,3,2,.531,.444,9,5.0,0.6,0,0,5.0,0.0,1.4,1.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
529,C,Austin Barnes,Dodgertown,DTWN,34095,8,7,32,28,6,3,0,0,3,9,7,3,0,1,0,0,13,0,.345,.250,4,-0.2,0.1,0,0,-0.2,0.0,0.6,0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
450,C,Austin Barnes,Somerville,SOM,34095,6,5,22,19,2,0,1,0,1,3,3,2,0,0,0,1,7,0,.203,.083,0,-3.1,-0.4,0,0,-3.1,0.0,-0.3,-0.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
381,C,Austin Barnes,Sunnydale,SUN,34095,4,3,12,12,3,2,0,0,1,2,2,0,0,0,0,0,3,0,.299,.250,1,-0.6,0.0,0,0,-0.6,0.0,0.6,0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
252,1B,Hi Myers,Feekachang,Fee,37276,15,14,54,52,9,9,0,0,0,3,4,1,0,0,0,1,12,3,.161,.220,-1,-9.8,-0.6,0,0,-9.8,0.0,0.8,0.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,1,0,0,0,0,0,0,0,.000,0.00,-0.0,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
668,1B,Jonathan Schoop,Denver,DEN,34769,6,6,24,23,5,5,0,0,0,0,1,1,0,0,0,0,8,1,.215,.333,0,-3.1,-0.2,0,0,-3.1,0.0,0.4,0.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
348,1B,Jonathan Schoop,Chaska,CHA,34769,20,19,80,75,18,9,6,0,3,6,7,4,0,0,0,1,20,3,.294,.283,7,-4.4,-0.4,0,0,-4.3,0.0,-0.9,-0.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,1,1,3,1,2,0,0,0,1.000,2.45,-0.1,1.089,0,0,11.0,0,0,0.00,0,0,2,1,2,0,1,1,0,0,1,0.0,0.0
304,1B,Jonathan Schoop,Zaddy,CHI,34769,4,4,16,15,8,6,0,0,2,5,4,1,0,0,0,0,4,1,.605,.667,6,3.9,0.4,0,0,3.9,0.0,0.5,0.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
161,1B,Jonathan Schoop,Staten Island,GUNK,34769,5,5,22,21,8,6,0,0,2,5,3,1,0,0,0,0,5,0,.440,.429,5,1.9,0.2,0,0,1.9,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,1,1,3,1,2,0,0,0,1.000,3.00,0.3,.000,0,0,9.0,0,0,0.00,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0
614,2B,Marlon Anderson,Dinosoaur Bob and,DB,39120,10,9,40,33,11,8,0,1,2,11,5,5,1,1,0,1,6,0,.397,.346,7,1.7,0.3,1,0,1.8,0.4,0.3,0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,9,9,26,17,9,0,3,0,1.000,2.90,0.1,1.089,0,0,80.2,0,0,0.00,17,16,2,1,2,0,3,0,1,0,2,0.0,0.0
