ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
345,C,Austin Barnes,Somerville,SOM,34095,5,5,21,21,3,3,0,0,0,0,1,0,0,0,0,0,6,0,.128,.200,-1,-5.4,-0.4,0,0,-5.6,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
410,1B,Jonathan Schoop,Poulsbo,PVK,34769,5,5,18,16,3,1,2,0,0,1,4,2,0,0,0,0,7,0,.265,.333,0,-2.1,-0.1,0,0,-2.2,0.0,0.2,0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
114,1B,Jonathan Schoop,Phoenix,PHX,34769,7,7,29,26,9,3,0,0,6,7,8,3,0,0,0,0,6,1,.525,.214,9,4.5,0.5,2,0,4.3,0.4,0.5,0.9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,1,0,2,1,1,0,1,0,1.000,3.60,-0.2,.000,0,0,5.0,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
78,1B,Jonathan Schoop,Calgary,CAL,34769,4,4,16,16,6,4,1,0,1,1,1,0,0,0,0,0,5,0,.406,.500,3,0.5,-0.0,0,0,0.4,0.0,-0.4,-0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
744,2B,Marlon Anderson,Sacramento,SAC,39120,6,4,22,16,3,0,1,0,2,6,5,6,0,0,0,0,3,0,.414,.091,4,0.9,0.1,0,0,0.7,0.0,0.3,0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,5,4,13,10,3,0,4,0,1.000,2.72,-0.4,.982,0,0,43.0,0,0,0.00,7,7,2,0,2,0,0,0,0,0,3,0.0,0.0
647,2B,Marlon Anderson,Ogden,OGD,39120,23,23,101,90,26,12,11,0,3,10,20,10,0,1,0,0,27,0,.369,.383,15,-0.7,0.2,2,0,-1.5,0.5,-1.3,-0.8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,20,20,76,41,35,0,11,0,1.000,4.22,-0.1,1.011,0,0,162.0,0,0,0.00,32,31,12,6,5,0,8,3,2,0,4,0.0,0.0
488,2B,Marlon Anderson,Stockton,STO,39120,7,6,22,18,6,3,0,1,2,2,6,4,0,0,0,0,4,0,.480,.333,6,2.4,0.2,1,0,2.2,0.2,0.6,0.9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,2,2,8,2,4,2,0,0,.750,3.18,-0.6,.623,0,0,17.0,0,0,0.00,1,1,3,2,1,0,1,0,3,1,2,0.0,0.0
376,2B,Marlon Anderson,Tokyo,TR,39120,11,10,43,37,12,9,2,0,1,5,8,6,0,0,0,0,12,0,.388,.458,7,0.6,0.1,0,1,0.2,-0.5,0.7,0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,11,10,38,22,14,2,8,0,.947,3.72,-1.0,1.000,0,0,87.0,0,0,0.00,18,14,5,2,5,2,2,0,1,0,6,0.0,0.0
303,2B,Marlon Anderson,Joe Buck,JB,39120,7,7,31,25,8,6,2,0,0,3,5,5,0,1,0,0,5,0,.397,.400,5,0.7,0.0,0,1,0.4,-0.5,0.0,-0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,1,1,2,0,2,0,1,0,1.000,2.00,0.0,.000,0,0,9.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
162,2B,Marlon Anderson,Puerto Rico,PR,39120,3,2,13,11,6,3,1,0,2,3,3,2,0,0,0,0,3,0,.677,.667,6,4.1,0.3,0,0,4.0,0.0,0.5,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,4,2,2,5,2,3,0,2,0,1.000,2.65,-0.6,.364,0,0,17.0,0,0,0.00,0,0,0,0,1,0,0,0,1,0,2,0.0,0.0
