POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,SIERA,POS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
SP,Ryan Borucki,Hoollebob,34862, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,7.2,36,33,11,6,3,0,2,5,5,3,0,9,0,.409,0,0,0,1,0,0.93,5,8,0,0,5.56,0.0,3.26,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,7.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0
SP,Matt Brash,Hoollebob,40818, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,3,3,14.2,74,66,26,19,3,0,4,13,11,7,0,17,0,.478,0,1,2,4,0,1.25,11,9,1,0,6.00,-0.8,3.73,1,2,2,0,0,0,0,1.000,1.23,-0.2,.000,1,0,14.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
SP,JT Brubaker,Portland,34243, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.0,44,39,14,9,3,1,1,7,7,4,0,10,1,.464,0,0,1,2,0,1.09,9,6,0,3,4.14,-0.2,3.75,1,1,1,0,0,0,0,1.000,0.90,0.6,1.019,3,3,10.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.4,0.0
SP,JT Brubaker,Tar Valon,34243, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,21,20,2,1,1,0,0,0,0,1,0,10,0,.200,0,0,1,0,0,0.97,3,5,0,0,0.51,0.3,0.02,1,1,1,0,0,0,0,1.000,1.50,0.2,1.019,0,0,6.0,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-0.3,0.0
SP,JT Brubaker,Hoollebob,34243, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,3,3,13.2,70,61,22,14,5,0,3,13,12,7,0,15,1,.432,0,1,0,1,0,0.91,11,13,0,0,5.76,-0.8,4.00,1,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,13.2,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,-0.9,0.0
SP,Madison Bumgarner,Bucknell,34172, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,8.0,30,28,4,3,0,0,1,3,1,2,0,7,0,.150,0,0,1,1,0,0.96,8,7,0,1,3.97,-0.0,3.37,1,1,0,1,0,0,0,1.000,1.12,0.2,.000,1,1,8.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Daniel Castano,Whitestone,34456, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,3,3,14.2,68,59,17,10,4,1,2,9,9,7,0,11,2,.326,0,0,0,2,0,1.29,14,17,1,0,5.46,-0.2,4.79,1,2,2,0,0,0,0,1.000,1.23,-0.1,1.019,1,0,14.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,0.7,0.0
SP,Humberto Castellanos,Beijing,34165, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,4,0,2.2,10,9,1,0,1,0,0,1,1,1,0,3,0,.167,0,0,0,0,4,1.18,1,4,0,0,2.22,-0.3,2.08,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
SP,Bob Chipman,Hoollebob,40373, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,5.2,36,32,16,9,2,0,5,12,12,4,0,7,0,.550,0,0,0,0,0,1.22,1,8,0,0,14.46,-0.9,4.24,1,1,0,0,1,0,0,.000,0.00,0.1,.000,0,0,5.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Ed Connolly Jr.,Derp Force,40349, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,3,3,12.2,56,44,8,7,0,0,1,4,4,11,0,14,1,.241,0,0,0,2,0,1.09,9,13,0,0,5.00,0.2,4.61,1,1,1,0,0,1,0,1.000,0.71,0.0,1.019,0,0,12.2,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0,-0.1,0.0
