Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Nestor Cortes,NYY,2,1,1.35,7,7,0,0,0,0,0,40,151,23,7,6,3,11,0,0,0,0,49,17874
Justin Verlander,HOU,5,1,1.38,7,7,0,0,0,0,0,45.2,162,22,7,7,4,9,0,1,0,0,41,8700
Pablo Lopez,MIA,4,1,1.57,8,8,0,0,0,0,0,46,178,31,9,8,2,11,0,0,2,0,48,17085
Miles Mikolas,STL,3,2,1.68,8,8,0,0,0,0,0,48.1,193,39,10,9,2,9,0,2,1,0,36,9803
Alek Manoah,TOR,4,1,1.71,7,7,0,0,0,0,0,42,164,28,10,8,3,9,0,4,1,0,39,26410
Martin Perez,TEX,2,2,2.01,7,7,0,0,0,0,0,40.1,159,30,13,9,0,11,0,2,1,0,33,6902
Jose Quintana,PIT,1,1,2.19,7,7,0,0,0,0,0,37,149,26,9,9,2,14,1,1,1,0,30,11423
Joe Musgrove,SDP,4,0,2.2,7,7,0,0,0,0,0,45,176,36,15,11,4,6,0,2,0,0,47,12970
Corbin Burnes,MIL,1,2,2.26,8,8,0,0,0,0,0,51.2,197,35,14,13,8,8,0,4,2,0,62,19361
Drew Rasmussen,TBR,4,1,2.33,8,8,0,0,0,0,0,38.2,152,27,10,10,2,8,0,1,3,0,34,25385
Shane McClanahan,TBR,3,2,2.33,8,8,0,0,0,0,0,46.1,177,30,13,12,6,10,0,1,3,0,65,21483
Logan Gilbert,SEA,4,2,2.4,8,8,0,0,0,0,0,45,182,34,14,12,3,16,0,2,1,0,51,22250
Sandy Alcantara,MIA,3,2,2.49,8,8,0,0,0,0,0,50.2,201,36,16,14,4,20,1,4,1,0,42,18684
Tarik Skubal,DET,3,2,2.5,7,7,0,0,0,0,0,39.2,159,35,14,11,2,8,0,0,0,0,45,22267
Kevin Gausman,TOR,3,3,2.52,8,8,0,0,0,0,0,50,197,49,16,14,1,3,0,0,0,1,57,14107
Max Scherzer,NYM,5,1,2.54,8,8,0,0,0,0,0,49.2,193,36,15,14,5,11,0,4,0,0,59,3137
Framber Valdez,HOU,3,2,2.68,8,8,0,0,0,0,0,47,198,40,15,14,1,19,0,3,1,1,39,17295
Chris Bassitt,NYM,4,2,2.77,8,8,0,0,0,0,0,48.2,200,40,15,15,6,13,0,5,1,1,49,12304
Kyle Wright,ATL,3,2,2.79,7,7,0,0,0,0,0,42,171,33,15,13,2,13,0,3,1,0,50,19665
Gerrit Cole,NYY,4,0,2.89,8,8,0,0,0,0,0,43.2,179,35,14,14,5,12,0,1,1,1,51,13125
Brad Keller,KCR,1,3,2.89,7,7,0,0,0,0,0,43.2,171,35,16,14,5,9,0,0,0,0,25,15734
Walker Buehler,LAD,5,1,2.89,8,8,1,1,0,0,0,46.2,194,45,15,15,3,12,0,2,1,0,39,19374
Triston McKenzie,CLE,2,3,2.97,7,6,0,0,0,0,0,36.1,141,24,12,12,3,11,0,3,3,0,34,18000
Dylan Cease,CHW,4,1,3.09,8,8,0,0,0,0,0,43.2,182,34,15,15,3,17,1,1,3,0,67,18525
Adam Wainwright,STL,4,3,3.15,7,7,0,0,0,0,0,40,163,34,14,14,3,15,0,0,2,0,33,2233
Merrill Kelly,ARI,3,2,3.27,8,8,0,0,0,0,0,44,184,41,16,16,2,15,1,1,1,0,40,11156
Max Fried,ATL,4,2,3.31,8,8,0,0,0,0,0,49,198,45,19,18,4,6,1,2,5,0,47,13743
Jordan Montgomery,NYY,0,1,3.35,8,8,0,0,0,0,0,40.1,166,37,15,15,4,8,0,4,3,0,32,16511
Zack Greinke,KCR,0,2,3.48,8,8,0,0,0,0,0,44,183,49,19,17,2,4,0,2,2,0,18,1943
Cal Quantrill,CLE,1,2,3.48,7,7,0,0,0,0,0,41.1,166,34,18,16,3,15,0,1,0,0,25,19312
Bruce Zimmermann,BAL,2,2,3.48,8,8,0,0,0,0,0,41.1,170,42,19,16,4,10,0,2,0,0,34,20370
Zack Wheeler,PHI,2,3,3.49,7,7,0,0,0,0,0,38.2,158,34,15,15,2,10,0,3,0,0,41,10310
Carlos Rodon,SFG,4,2,3.49,7,7,0,0,0,0,0,38.2,155,30,15,15,1,13,0,1,3,0,56,16137
Logan Webb,SFG,5,1,3.54,8,8,0,0,0,0,0,48.1,200,48,19,19,2,13,0,1,2,0,34,17995
Dakota Hudson,STL,3,2,3.6,8,8,0,0,0,0,0,40,168,35,17,16,4,19,0,2,2,0,22,19206
Aaron Nola,PHI,1,4,3.64,8,8,0,0,0,0,0,47,185,37,20,19,7,9,0,4,0,0,55,16149
Frankie Montas,OAK,2,4,3.67,8,8,0,0,0,0,0,49,195,37,21,20,6,13,1,1,0,0,53,14309
Shane Bieber,CLE,1,2,3.72,7,7,0,0,0,0,0,38.2,163,37,17,16,4,12,0,1,1,0,36,19427
Carlos Carrasco,NYM,3,1,3.73,7,7,0,0,0,0,0,41,166,39,17,17,3,7,2,2,2,0,35,6632
Sean Manaea,SDP,2,3,3.77,7,7,0,0,0,0,0,43,174,34,19,18,5,14,0,0,0,0,50,15873
Chad Kuhl,COL,3,2,3.86,7,7,0,0,0,0,0,37.1,155,31,17,16,4,13,0,0,2,0,30,14975
Yu Darvish,SDP,4,1,3.91,8,8,0,0,0,0,0,46,189,41,20,20,4,11,0,2,1,0,37,13074
Dane Dunning,TEX,1,2,3.92,8,8,0,0,0,0,0,43.2,183,37,19,19,5,16,0,1,1,0,43,19409
Kyle Gibson,PHI,3,2,3.98,8,8,0,0,0,0,0,43,178,40,20,19,4,13,0,0,1,0,37,10123
Kyle Hendricks,CHC,2,3,4.03,8,8,0,0,0,0,0,44.2,188,41,20,20,6,15,0,3,0,0,32,12049
Jordan Lyles,BAL,2,4,4.11,8,8,0,0,0,0,0,46,199,50,24,21,5,14,0,3,1,0,40,7593
Nick Pivetta,BOS,2,4,4.22,8,8,1,0,0,0,0,42.2,174,35,20,20,5,14,0,1,3,0,41,15454
Nathan Eovaldi,BOS,1,2,4.32,8,8,0,0,0,0,0,41.2,177,44,23,20,14,7,0,1,1,0,42,9132
Chris Flexen,SEA,1,6,4.35,7,7,0,0,0,0,0,39.1,165,39,19,19,7,12,0,1,0,0,29,13896
Josiah Gray,WSN,4,3,4.36,8,8,0,0,0,0,0,43.1,182,37,21,21,9,18,0,3,2,0,46,24580
Austin Gomber,COL,2,3,4.38,7,7,0,0,0,0,0,39,156,35,21,19,6,13,1,0,0,0,32,16561
Eduardo Rodriguez,DET,1,3,4.38,8,8,0,0,0,0,0,39,169,35,26,19,4,17,0,0,0,0,34,13164
Zach Plesac,CLE,1,3,4.42,7,7,0,0,0,0,0,38.2,167,40,23,19,6,12,0,2,1,0,23,19979
Robbie Ray,SEA,4,3,4.62,8,8,0,0,0,0,0,48.2,200,40,25,25,7,18,0,2,3,0,50,11486
Jose Berrios,TOR,3,2,4.83,8,8,0,0,0,0,0,41,183,48,22,22,6,13,0,2,2,0,28,14168
Kyle Freeland,COL,1,4,4.85,8,8,0,0,0,0,0,42.2,195,54,28,23,4,13,0,4,2,0,34,16256
Tyler Mahle,CIN,2,4,5.23,9,9,0,0,0,0,0,43,186,38,27,25,3,20,0,0,2,0,44,16358
German Marquez,COL,1,3,6.16,7,7,0,0,0,0,0,38,169,47,30,26,7,11,0,1,3,0,32,15038
